Sector,Revenuegrowth,Marketcap,Longname
Industrials,0.12980555555555556,3145517198336,72
Technology,0.12865714285714286,7957026454528,70
Financial Services,0.05105882352941177,4475559345152,68
Healthcare,0.04221875,5236128859136,64
Consumer Cyclical,5.730842105263158,3135358277632,57
Consumer Defensive,0.06602777777777777,2895632931328,36
Real Estate,0.2288125,900338091776,32
Utilities,0.19686206896551722,995159676416,29
Energy,0.8496521739130436,1712068819968,23
Communication Services,0.3717142857142857,3701477629440,22
Basic Materials,0.2646190476190476,844416256000,21
